verb,class,attitude,orientation
abhore,admire-type,appreciation,negative
abuse,judgement,judgement,negative
acclaim,judgement,judgement,positive
admire,admire-type,appreciation,positive
adore,admire-type,appreciation,positive
applaud,judgement,judgement,positive
appreciate,admire-type,appreciation,positive
backbite,judgement,judgement,negative
bless,judgement,judgement,positive
caluminate,judgement,judgement,negative
castigate,judgement,judgement,negative
celebrate,judgement,judgement,positive
censure,judgement,judgement,negative
chasten,judgement,judgement,negative
chastise,judgement,judgement,negative
cherish,admire-type,appreciation,positive
chide,judgement,judgement,negative
commend,judgement,judgement,positive
compensate,judgement,judgement,positive
compliment,judgement,judgement,positive
condemn,judgement,judgement,negative
congratulate,judgement,judgement,positive
covet,want,attitude,positive
crave,want,attitude,positive
criticize,judgement,judgement,negative
decry,judgement,judgement,negative
defame,judgement,judgement,negative
denigrate,judgement,judgement,negative
denounce,judgement,judgement,negative
deplore,admire-type,appreciation,negative
deprecate,judgement,judgement,negative
deride,judgement,judgement,negative
desire,want,attitude,positive
despise,admire-type,appreciation,negative
detest,admire-type,appreciation,negative
disdain,admire-type,appreciation,negative
dislike,admire-type,appreciation,negative
disparage,judgement,judgement,negative
distrust,admire-type,appreciation,negative
dread,admire-type,appreciation,negative
enjoy,admire-type,appreciation,positive
envy,admire-type,appreciation,negative
esteem,admire-type,appreciation,positive
eulogize,judgement,judgement,positive
exalt,admire-type,appreciation,positive
excuse,judgement,judgement,positive
execrate,admire-type,appreciation,negative
extol,judgement,judgement,positive
fancy,admire-type,appreciation,positive
fault,judgement,judgement,negative
favor,admire-type,appreciation,positive
fear,admire-type,appreciation,negative
felicitate,judgement,judgement,positive
fine,judgement,judgement,negative
forgive,judgement,judgement,positive
greet,judgement,judgement,positive
hail,judgement,judgement,positive
hate,admire-type,appreciation,negative
honor,judgement,judgement,positive
idolize,admire-type,appreciation,positive
impeach,judgement,judgement,negative
insult,judgement,judgement,negative
lambaste,judgement,judgement,negative
lament,admire-type,appreciation,negative
laud,judgement,judgement,positive
like,admire-type,appreciation,positive
loathe,admire-type,appreciation,negative
love,admire-type,appreciation,positive
malign,judgement,judgement,negative
miss,admire-type,appreciation,positive
mock,judgement,judgement,negative
mourn,admire-type,appreciation,negative
need,want,attitude,positive
pardon,judgement,judgement,positive
pay,judgement,judgement,positive
penalize,judgement,judgement,negative
persecute,judgement,judgement,negative
pity,admire-type,appreciation,negative
praise,judgement,judgement,positive
prefer,selection,attitude,positive
prize,admire-type,appreciation,positive
prosecute,judgement,judgement,negative
punish,judgement,judgement,negative
rebuke,judgement,judgement,negative
recompense,judgement,judgement,positive
regret,admire-type,appreciation,negative
relish,admire-type,appreciation,positive
remunerate,judgement,judgement,positive
reprimand,judgement,judgement,negative
reproach,judgement,judgement,negative
reprove,judgement,judgement,negative
resent,admire-type,appreciation,negative
respect,admire-type,appreciation,positive
revere,admire-type,appreciation,positive
revile,judgement,judgement,negative
reward,judgement,judgement,positive
ridicule,judgement,judgement,negative
rue,admire-type,appreciation,negative
salute,judgement,judgement,positive
savor,admire-type,appreciation,positive
scold,judgement,judgement,negative
scorn,judgement,judgement,negative
shame,judgement,judgement,negative
snub,judgement,judgement,negative
stand,admire-type,appreciation,positive
support,admire-type,appreciation,positive
thank,judgement,judgement,positive
toast,judgement,judgement,positive
tolerate,admire-type,appreciation,positive
treasure,admire-type,appreciation,positive
trust,admire-type,appreciation,positive
upbraid,judgement,judgement,negative
value,admire-type,appreciation,positive
venerate,admire-type,appreciation,positive
victimize,judgement,judgement,negative
vilify,judgement,judgement,negative
want,want,attitude,positive
welcome,judgement,judgement,positive
worship,admire-type,appreciation,positive
